id,name,type,humanReadableCardType,frameType,desc,archetype,cardmarket_price,tcgplayer_price,ebay_price,amazon_price,coolstuffinc_price
68170903,A Feint Plan,Trap Card,Normal Trap,trap,A player cannot attack face-down monsters during this turn.,,0.02,0.11,1.5,0.29,0.25
21597117,A Hero Emerges,Trap Card,Normal Trap,trap,"When an opponent's monster declares an attack: Your opponent chooses 1 random card from your hand, then if it is a monster that can be Special Summoned, Special Summon it. Otherwise, send it to the Graveyard.",,0.05,0.08,0.99,0.99,0.25
32207100,A Major Upset,Trap Card,Normal Trap,trap,Tribute 1 face-up Attack Position Level 2 or lower monster you control; return all Level 7 or higher Special Summoned monsters to the hand.,,0.07,0.14,2.95,0.25,0.25
5728014,A Rival Appears!,Trap Card,Normal Trap,trap,Select 1 face-up monster your opponent controls. Special Summon 1 monster from your hand that has the same Level as the selected monster.,,0.04,0.16,0.99,0.99,0.25
44553392,"A Shattered, Colorless Realm",Trap Card,Normal Trap,trap,"If ""Vicious Astraloud"" is on the field: Target 1 card on the field; destroy it, then, if the destroyed card's original name was ""Vicious Astraloud"", you can Special Summon 1 of your banished ""Visas Starfrost"", or if it was not, you can make 1 ""Vicious Astraloud"" you control gain 1500 ATK.",,0.03,0.03,0.0,0.0,0.49
75926389,A-to-Z Energy Load,Trap Card,Normal Trap,trap,"When your opponent activates a card or effect: Draw cards equal to the number of Level 8 or higher LIGHT Machine Fusion Monsters you control. During your Standby Phase: You can banish this card from your GY; shuffle up to 6 of your banished LIGHT Machine monsters into the Deck, including a Union monster. You can only use each effect of ""A-to-Z Energy Load"" once per turn.",A-to-Z,0.08,0.08,0.0,0.0,0.0
28645123,A.I. Challenge You,Trap Card,Continuous Trap,trap,"Monsters your opponent controls lose 100 ATK for each card you control. If your ""@Ignister"" monster battles, your opponent cannot activate cards or effects until the end of the Damage Step. When your ""@Ignister"" monster is destroyed by battle: You can target 1 other Cyberse monster with 2300 ATK in your GY; Special Summon it. You can only use this effect of ""A.I. Challenge You"" once per turn.",A.I.,0.02,0.13,0.99,0.59,0.49
77421977,A.I. Shadow,Trap Card,Continuous Trap,trap,"Activate this card by targeting 1 ""@Ignister"" monster you control. That monster gains 800 ATK, also all monsters your opponent controls must attack that monster you control, if able. If this face-up card in its owner's Spell & Trap Zone has left the field because of an opponent's effect, and is now in the GY or banished: Draw 1 card. You can only use this effect of ""A.I. Shadow"" once per turn.",@Ignister,0.03,0.07,0.99,0.2,0.49
54374642,A.I.'s Show,Trap Card,Normal Trap,trap,"While you control a Link-3 or higher ""@Ignister"" monster in the Extra Monster Zone, when an opponent's monster declares an attack: Special Summon from your Extra Deck any number of non-Link Cyberse monster(s) with 2300 ATK, whose combined ATK is less than or equal to the attacking monster's ATK, then end the Battle Phase.",A.I.,0.07,0.15,0.99,0.49,0.25
69381150,A.I.Q,Trap Card,Continuous Trap,trap,"Activate only if you control an ""@Ignister"" monster. Once per turn, during your Standby Phase, Tribute 1 Link Monster, or destroy this card. Each player can only Link Summon a monster once per turn while this card is face-up on the field.",@Ignister,0.07,0.09,0.99,44.99,0.25
